lon,lat,sol,win
119.43,49.32,3.83,4.8
118.27,48.22,3.9,5.87
116.82,48.67,3.95,6.35
117.45,49.58,3.85,6.1
120.73,49.28,3.74,4.35
122.75,47.98,3.94,4.3
120.18,50.23,3.68,4.04
121.52,50.78,3.68,3.95
107.42,40.75,4.5,5.69
107.4,40.75,4.5,5.69
108.27,41.1,4.51,5.57
107.02,40.33,4.5,5.69
108.65,40.72,4.6,5.12
108.52,41.57,4.51,5.57
107.07,41.1,4.47,5.72
107.15,40.88,4.5,5.69
113.12,40.98,4.55,4.52
113.1,41.03,4.53,5.91
112.57,40.9,4.55,4.45
114,41.9,4.55,6.07
113.53,41.55,4.53,5.91
113.88,40.88,4.55,4.52
112.48,40.53,4.55,4.45
113.22,40.78,4.55,4.52
112.63,41.27,4.5,5.76
113.18,41.45,4.53,5.91
111.7,41.52,4.5,5.6
113.15,40.43,4.55,4.52
122.05,46.08,4.07,5.17
122.05,46.08,4.07,5.17
119.93,47.18,3.96,6.04
121.92,46.07,3.99,5.72
121.47,45.05,4.12,5.71
122.9,46.73,4.07,5.17
121.57,45.38,4.12,5.71
116.07,43.95,4.33,6.94
111.98,43.65,4.56,6.22
116.07,43.93,4.33,6.94
114.97,44.02,4.35,6.62
113.63,43.85,4.48,6.54
112.65,42.75,4.54,6.39
116.97,45.52,4.2,6.69
117.6,44.58,4.21,6.96
115.28,41.9,4.45,6.14
113.83,42.23,4.53,6.59
115,42.3,4.46,6.9
116,42.25,4.4,6.93
116.47,42.18,4.4,6.93
105.67,38.83,4.64,6.01
105.67,38.83,4.64,6.01
101.68,39.2,4.7,6.72
101.07,41.97,4.69,5.99
123.43,41.8,4.17,4.39
123.4,41.78,4.17,4.39
123.45,41.8,4.17,4.39
123.47,41.8,4.17,4.39
123.42,41.82,4.17,4.39
122.95,41.12,4.24,4.34
123.35,41.8,4.17,4.39
123.33,41.67,4.17,4.39
123.47,41.77,4.17,4.39
123.52,42.05,4.17,4.66
123.3,41.78,4.17,4.39
